AGENT_ID,total_ptps,fulfilled,fulfillment_rate,avg_dpd,repromise_rate,visit_rate,remarks_count,tier,last_3_activity,tier_insight
12641,48,45,0.9375,3.27,1.0,0.0,48,Top Quartile,"{""last_3_remarks"": ""cm will maintain on this account 5th march|cm will maintain on this account 5th march|cm will maintain on this account 5th march"", ""last_3_Total_Outstanding"": ""68359|0|244586"", ""last_3_ptp_date"": ""2026-03-03:2026-03-03:2026-03-03"", ""last_3_promised_date"": ""2026-03-05:2026-03-05:2026-03-05""}",Top Quartile: fulfillment 93.8% (31.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 3d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
10122,73,68,0.9315,18.85,0.8904,0.0,73,Top Quartile,"{""last_3_remarks"": "" 3-CM SAY WILL MAINTAIN SUFFICIANT FUNDS IN THE ACCOUNT | 3-CM SAY WILL MAINTAIN SUFFICIANT FUNDS IN THE ACCOUNT |3-CM SAY WILL MAINTAIN SUFFICIANT FUNDS IN THE ACCOUNT "", ""last_3_Total_Outstanding"": ""219162|441298|109883"", ""last_3_ptp_date"": ""2026-04-03:2026-04-03:2026-04-03"", ""last_3_promised_date"": ""2026-04-05:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 93.2% (30.8pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 19d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
9633,29,27,0.931,46.76,0.9655,0.0,29,Top Quartile,"{""last_3_remarks"": ""CM WILL PAY BY NACH ON 2ND  DECEMBER|CM WILL PAY ON 16TH NOVEMBER|CALL BACK"", ""last_3_Total_Outstanding"": ""1539788|64396|417901"", ""last_3_ptp_date"": ""2025-12-02:2025-11-11:2025-11-01"", ""last_3_promised_date"": ""2026-01-02:2025-12-01:2025-12-01""}",Top Quartile: fulfillment 93.1% (30.8pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 47d vs 64d cohort) | call-only agent — no field visits | low volume (29 PTPs) — tier may be noisy | above Q75 threshold 81.8% — model for best-practice replication
8541,225,209,0.9289,13.25,0.9778,0.0,225,Top Quartile,"{""last_3_remarks"": ""cm said will maintain a sufficient balances on 4th  feb 2026 evening sources of payment salary .\n|cm said will maintain a sufficient balances on  4th feb 2026 evening sources of payment does not confirm\n|cm said will maintain a sufficient balances on  4th feb 2026 evening sources of payment does not confirm\n"", ""last_3_Total_Outstanding"": ""564002|46882|141193"", ""last_3_ptp_date"": ""2026-02-03:2026-02-03:2026-02-03"", ""last_3_promised_date"": ""2026-02-05:2026-02-05:2026-02-05""}",Top Quartile: fulfillment 92.9% (30.6pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 13d vs 64d cohort) | call-only agent — no field visits | high volume (225 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
9935,51,47,0.9216,76.88,0.9608,0.0,51,Top Quartile,"{""last_3_remarks"": ""cm 15 ko emi jama karega |cm emi jama kar dega |cm kal emi jama karega"", ""last_3_Total_Outstanding"": ""43244|208716|51322"", ""last_3_ptp_date"": ""2025-08-11:2025-08-08:2025-08-08"", ""last_3_promised_date"": ""2025-09-05:2025-09-05:2025-09-05""}",Top Quartile: fulfillment 92.2% (29.9pt above cohort avg 62.3%) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
11955,37,34,0.9189,2.65,1.0,0.0,36,Top Quartile,"{""last_3_remarks"": ""cm SD he Menten balance on due date \n04-02-2026|cm SD he Menten balance in account \n04-05-2026|cm SD he Menten balance in account\n04-05-2026 "", ""last_3_Total_Outstanding"": ""469085|111728|100641"", ""last_3_ptp_date"": ""2026-02-03:2026-02-03:2026-02-03"", ""last_3_promised_date"": ""2026-02-05:2026-02-05:2026-02-05""}",Top Quartile: fulfillment 91.9% (29.6pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 3d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
12935,197,181,0.9188,0.39,0.9695,0.0,197,Top Quartile,"{""last_3_remarks"": ""ch said he will pay tdy 11th emi amout rs 3718 @5\n\nrfd medical issue |ch said he will pay on before 10th date due to medical issue|CH SAID HE WILL PAY TDY 4TH  DUE TO FUND ISSUE @7"", ""last_3_Total_Outstanding"": ""7456|494824|82588"", ""last_3_ptp_date"": ""2026-04-11:2026-04-05:2026-04-04"", ""last_3_promised_date"": ""2026-05-05:2026-05-01:2026-05-01""}",Top Quartile: fulfillment 91.9% (29.6pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 0d vs 64d cohort) | call-only agent — no field visits | high volume (197 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
11810,24,22,0.9167,2.79,1.0,0.0,24,Top Quartile,"{""last_3_remarks"": ""RFD-MEDICAL ISSUE/CM SAID HE WILL CLEAR THE BY TOMORROW EOD 8TH APR|RFD : SALARY ISSUE / CX SAID HE WILL PAY ON 25TH  |CX SAID HE WILL PAY TODAY "", ""last_3_Total_Outstanding"": ""13394|12895|278906"", ""last_3_ptp_date"": ""2026-04-07:2026-03-08:2026-03-08"", ""last_3_promised_date"": ""2026-05-05:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 91.7% (29.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 3d vs 64d cohort) | call-only agent — no field visits | low volume (24 PTPs) — tier may be noisy | above Q75 threshold 81.8% — model for best-practice replication
10716,24,22,0.9167,5.46,0.9583,0.0,24,Top Quartile,"{""last_3_remarks"": ""03-cm sd waiting for ecs ///|03-cm sd waiting for ecs///|03-cm sd waiting for ecs///"", ""last_3_Total_Outstanding"": ""32258|138575|174902"", ""last_3_ptp_date"": ""2026-04-03:2026-04-03:2026-04-03"", ""last_3_promised_date"": ""2026-04-05:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 91.7% (29.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 5d vs 64d cohort) | call-only agent — no field visits | low volume (24 PTPs) — tier may be noisy | above Q75 threshold 81.8% — model for best-practice replication
10132,48,44,0.9167,62.29,0.9583,0.0,48,Top Quartile,"{""last_3_remarks"": ""25-CM NUM IVR//|24-CM SD PAY ON 25TH//|24-CM SD PAY ON TOMARROW//"", ""last_3_Total_Outstanding"": ""182768|84894|91365"", ""last_3_ptp_date"": ""2025-08-25:2025-08-24:2025-08-24"", ""last_3_promised_date"": ""2025-09-05:2025-09-05:2025-09-05""}",Top Quartile: fulfillment 91.7% (29.4pt above cohort avg 62.3%) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
12142,48,44,0.9167,5.81,1.0,0.0,48,Top Quartile,"{""last_3_remarks"": ""cm said payment pay to 09 april |CM SAID ARENG THE PAYMENT PAY TO 13 APRIL |Cm Said He will Maintain Balance On 4th April\n"", ""last_3_Total_Outstanding"": ""174503|1670060|19991"", ""last_3_ptp_date"": ""2026-04-09:2026-04-06:2026-04-03"", ""last_3_promised_date"": ""2026-05-02:2026-05-01:2026-04-05""}",Top Quartile: fulfillment 91.7% (29.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 6d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
8173,24,22,0.9167,5.88,1.0,0.0,24,Top Quartile,"{""last_3_remarks"": ""05-CM SAID  TO BE  I WILL  PAY  1 WEEK  TIME ON  PAY  THE EMI  AMOUNT  //|05-CM SAY MAINTAIND  IN  AMOUNT    // |04-CM  MB NUM  RNR  //"", ""last_3_Total_Outstanding"": ""868423|121401|716366"", ""last_3_ptp_date"": ""2026-03-05:2026-03-05:2026-03-04"", ""last_3_promised_date"": ""2026-04-02:2026-04-01:2026-03-05""}",Top Quartile: fulfillment 91.7% (29.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 6d vs 64d cohort) | call-only agent — no field visits | low volume (24 PTPs) — tier may be noisy | above Q75 threshold 81.8% — model for best-practice replication
11130,59,54,0.9153,9.58,0.9492,0.0,59,Top Quartile,"{""last_3_remarks"": ""CUSTOMER  WII BE MAINTAINE BALANCE ON 4TH NOVEMBER.|CUSTOMER  WII BE MAINTAINE BALANCE ON 4TH NOVEMBER.|CUSTOMER  WII BE MAINTAINE BALANCE ON 4TH NOVEMBER."", ""last_3_Total_Outstanding"": ""8658|19258|5"", ""last_3_ptp_date"": ""2025-10-31:2025-10-31:2025-10-31"", ""last_3_promised_date"": ""2025-11-05:2025-11-05:2025-11-05""}",Top Quartile: fulfillment 91.5% (29.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 10d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
11826,105,96,0.9143,2.62,0.9619,0.0,105,Top Quartile,"{""last_3_remarks"": ""ptp by tomwr |cx will pay on 14-03-2026|cx will pay on 13-03-2026 due to salary late "", ""last_3_Total_Outstanding"": ""43614|107672|44977"", ""last_3_ptp_date"": ""2026-03-18:2026-03-13:2026-03-11"", ""last_3_promised_date"": ""2026-04-05:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 91.4% (29.1pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 3d vs 64d cohort) | call-only agent — no field visits | high volume (105 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
12275,46,42,0.913,0.78,1.0,0.0,46,Top Quartile,"{""last_3_remarks"": ""16-CM NUM PTP|12-CM SAY PTP|13-CM SAY PTP"", ""last_3_Total_Outstanding"": ""138789|164274|108788"", ""last_3_ptp_date"": ""2026-02-16:2026-02-15:2026-02-13"", ""last_3_promised_date"": ""2026-03-05:2026-03-05:2026-03-05""}",Top Quartile: fulfillment 91.3% (29.0pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 1d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
10124,171,156,0.9123,16.49,0.9942,0.0,171,Top Quartile,"{""last_3_remarks"": ""CM SAID HE WILL PAY 18 AUGUST THROUGH LINK TILL 5 PM |CM SAID HE WILL PAY 16 AUGUST THROUGH LINK |CM SAID HE WILL PAY 16 AUGUST THROUGH LINK "", ""last_3_Total_Outstanding"": ""0|46852|164462"", ""last_3_ptp_date"": ""2025-08-18:2025-08-16:2025-08-16"", ""last_3_promised_date"": ""2025-09-05:2025-09-05:2025-09-05""}",Top Quartile: fulfillment 91.2% (28.9pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 16d vs 64d cohort) | call-only agent — no field visits | high volume (171 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
8318,291,265,0.9107,11.88,0.9759,0.0,291,Top Quartile,"{""last_3_remarks"": ""cm said he will pay the amt on 10th Jan 2026 |cm said send the link i will pay the amt and send the proof on 7th Jan 2026 |cm said send the link i will pay the amt and send the proof for paying the amt on 6th Jan 2026  "", ""last_3_Total_Outstanding"": ""667617|242382|813729"", ""last_3_ptp_date"": ""2026-01-09:2026-01-07:2026-01-06"", ""last_3_promised_date"": ""2026-02-02:2026-02-01:2026-02-02""}",Top Quartile: fulfillment 91.1% (28.8pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 12d vs 64d cohort) | call-only agent — no field visits | high volume (291 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
10486,76,69,0.9079,12.3,0.9474,0.0,76,Top Quartile,"{""last_3_remarks"": ""CUSTOMER DISCONNECTED CALL |CM PAYMENT IS DONE |CM SAID HE WILL MAINTAIN BALANCE ON 4 DEC"", ""last_3_Total_Outstanding"": ""19502|31574|150689"", ""last_3_ptp_date"": ""2026-04-03:2025-12-09:2025-12-03"", ""last_3_promised_date"": ""2026-04-05:2026-01-05:2025-12-05""}",Top Quartile: fulfillment 90.8% (28.5pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 12d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
9574,302,274,0.9073,19.07,0.9007,0.0,302,Top Quartile,"{""last_3_remarks"": ""cm said i will pay on 15th august |cm said i will pay on 14th august on 5pm |cm said i will pay on 14th august "", ""last_3_Total_Outstanding"": ""26849|154054|97092"", ""last_3_ptp_date"": ""2025-08-14:2025-08-14:2025-08-14"", ""last_3_promised_date"": ""2025-09-05:2025-09-05:2025-09-05""}",Top Quartile: fulfillment 90.7% (28.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 19d vs 64d cohort) | call-only agent — no field visits | high volume (302 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
8543,215,195,0.907,21.86,0.9767,0.0,215,Top Quartile,"{""last_3_remarks"": ""cm said will maintain a sufficient balances on 4th SEP 2025 evening sources of payment does not confirm\n|cm said will maintain a sufficient balances on 4th SEP 2025 evening sources of payment does not confirm\n|cm said will maintain a sufficient balances on 4th SEP 2025 evening source of payment business\n"", ""last_3_Total_Outstanding"": ""25109|142042|38857"", ""last_3_ptp_date"": ""2025-08-31:2025-08-31:2025-08-31"", ""last_3_promised_date"": ""2025-09-05:2025-09-05:2025-09-05""}",Top Quartile: fulfillment 90.7% (28.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 22d vs 64d cohort) | call-only agent — no field visits | high volume (215 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
9572,285,258,0.9053,19.84,0.807,0.0,285,Top Quartile,"{""last_3_remarks"": ""CM WILL PAY 8 OCT2 5|LM CM DISC CALL CM WILL PAY ON 7 OCT 25 |cm said will maintain a sufficient balances on 4 OCT 2025 evening source of paymentSALARY\n"", ""last_3_Total_Outstanding"": ""61306|244031|147156"", ""last_3_ptp_date"": ""2025-10-08:2025-10-07:2025-09-29"", ""last_3_promised_date"": ""2025-11-05:2025-11-05:2025-10-05""}",Top Quartile: fulfillment 90.5% (28.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 20d vs 64d cohort) | call-only agent — no field visits | high volume (285 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
9840,285,258,0.9053,17.48,0.9684,0.0,285,Top Quartile,"{""last_3_remarks"": ""cm said will maintain a sufficient balances on 4aoutber 2025 evening \n|cm said will maintain a sufficient balances on 4 october   2025 evening \n|cm said payment done \n"", ""last_3_Total_Outstanding"": ""12574|25091|14016"", ""last_3_ptp_date"": ""2025-09-30:2025-09-30:2025-09-30"", ""last_3_promised_date"": ""2025-10-05:2025-10-05:2025-10-05""}",Top Quartile: fulfillment 90.5% (28.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 17d vs 64d cohort) | call-only agent — no field visits | high volume (285 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
8868,773,697,0.9017,11.13,0.9314,0.0,773,Top Quartile,"{""last_3_remarks"": ""i will maintain balance on 4 feb|cm maintain balance on 4 feb|cm will maintain sufient balance on 4 feb"", ""last_3_Total_Outstanding"": ""150944|283692|212817"", ""last_3_ptp_date"": ""2026-02-03:2026-02-03:2026-02-03"", ""last_3_promised_date"": ""2026-02-05:2026-02-05:2026-02-05""}",Top Quartile: fulfillment 90.2% (27.9pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 11d vs 64d cohort) | call-only agent — no field visits | high volume (773 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
12352,192,173,0.901,1.1,0.6875,0.0,192,Top Quartile,"{""last_3_remarks"": ""e nach ptp|e nach ptp|e nach ptp"", ""last_3_Total_Outstanding"": ""298769|37373|47677"", ""last_3_ptp_date"": ""2026-02-27:2026-02-27:2026-02-27"", ""last_3_promised_date"": ""2026-03-02:2026-03-05:2026-03-05""}",Top Quartile: fulfillment 90.1% (27.8pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 1d vs 64d cohort) | low re-promise rate 69% — tends to escalate rather than re-accept | call-only agent — no field visits | high volume (192 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
12333,111,100,0.9009,5.86,0.8559,0.0,111,Top Quartile,"{""last_3_remarks"": ""cm will be on 13 fab |cm will be pay on 15 fab|paid"", ""last_3_Total_Outstanding"": ""131668|31|142776"", ""last_3_ptp_date"": ""2026-02-12:2026-02-12:2026-02-12"", ""last_3_promised_date"": ""2026-03-05:2026-03-05:2026-03-05""}",Top Quartile: fulfillment 90.1% (27.8pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 6d vs 64d cohort) | call-only agent — no field visits | high volume (111 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
9030,698,628,0.8997,10.86,0.9527,0.0,698,Top Quartile,"{""last_3_remarks"": ""cm ptp on 23 rd feb he said share link and disc call|cm will try to pay on 19th or else 20th confirm |cm ptp on 19th feb time not confirmed he saqid he will cross check and then make payment"", ""last_3_Total_Outstanding"": ""176036|14290|176036"", ""last_3_ptp_date"": ""2026-02-23:2026-02-19:2026-02-19"", ""last_3_promised_date"": ""2026-03-05:2026-03-05:2026-03-05""}",Top Quartile: fulfillment 90.0% (27.7pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 11d vs 64d cohort) | call-only agent — no field visits | high volume (698 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
9939,39,35,0.8974,26.51,0.8718,0.0,39,Top Quartile,"{""last_3_remarks"": ""CM TODAY PAYMENT KAR DEGA |CM BOL REHA HAI 22 AUG KO PAYMENT KREGA |CM TODAY PAYMENT KAR DEGA "", ""last_3_Total_Outstanding"": ""0|164182|106558"", ""last_3_ptp_date"": ""2025-08-19:2025-08-19:2025-08-19"", ""last_3_promised_date"": ""2025-09-05:2025-09-05:2025-09-05""}",Top Quartile: fulfillment 89.7% (27.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 27d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
451,58,52,0.8966,45.28,0.8966,1.0,58,Top Quartile,"{""last_3_remarks"": ""Visited customer residence met with her mother she said will make the payment on Monday |Visited customer residence met with customer mother he said not arranged funds so wil make the payment on Monday |Visited customer residence she is not available met with her mother she committed to pay the emi on tomorrow "", ""last_3_Total_Outstanding"": ""191775|191775|191775"", ""last_3_ptp_date"": ""2026-04-22:2026-04-17:2026-04-16"", ""last_3_promised_date"": ""2026-05-01:2026-05-01:2026-05-01""}",Top Quartile: fulfillment 89.7% (27.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 45d vs 64d cohort) | heavy field-visit usage (100%) | above Q75 threshold 81.8% — model for best-practice replication
10123,153,137,0.8954,14.07,1.0,0.0,153,Top Quartile,"{""last_3_remarks"": ""cm said he will pay on 18 august|cm said he will pay on 19 august|cm said he will pay on 18 august"", ""last_3_Total_Outstanding"": ""0|184561|115418"", ""last_3_ptp_date"": ""2025-08-18:2025-08-18:2025-08-18"", ""last_3_promised_date"": ""2025-09-05:2025-09-05:2025-09-05""}",Top Quartile: fulfillment 89.5% (27.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 14d vs 64d cohort) | call-only agent — no field visits | high volume (153 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
8544,86,77,0.8953,27.72,0.907,0.0,86,Top Quartile,"{""last_3_remarks"": ""CM CALLBACK|CM SAID HE PAY ON 21ST MAY|CM SAID HE PAY ON 19 MAY"", ""last_3_Total_Outstanding"": ""105658|35218|13692"", ""last_3_ptp_date"": ""2025-05-26:2025-05-21:2025-05-19"", ""last_3_promised_date"": ""2025-06-05:2025-06-05:2025-06-05""}",Top Quartile: fulfillment 89.5% (27.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 28d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
9050,38,34,0.8947,36.37,0.9737,0.0,38,Top Quartile,"{""last_3_remarks"": ""He will pay on 16 October evening 5pm |he will pay on 28 October reason medical issue |He will pay on 25 October reason due to some personal issue "", ""last_3_Total_Outstanding"": ""161528|60895|641280"", ""last_3_ptp_date"": ""2025-10-16:2025-10-15:2025-10-15"", ""last_3_promised_date"": ""2025-11-01:2025-11-05:2025-11-05""}",Top Quartile: fulfillment 89.5% (27.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 36d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
10831,37,33,0.8919,7.68,1.0,0.0,37,Top Quartile,"{""last_3_remarks"": ""Cm say his will maintain balanace in 5th march|cm say his will pay 16th feb|cm say his will maintan balance in 2nd jan"", ""last_3_Total_Outstanding"": ""321269|43989|275584"", ""last_3_ptp_date"": ""2026-03-03:2026-02-14:2025-12-28"", ""last_3_promised_date"": ""2026-03-05:2026-03-05:2026-01-02""}",Top Quartile: fulfillment 89.2% (26.9pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 8d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
